Package CNVassoc version 2.2
Package built using 73707/R 3.5.0; x86_64-pc-linux-gnu; 2017-11-10 16:19:57 UTC; unix   
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:95
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:97
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRlogisticcov.c:107
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRlogisticcov.c:112
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRlogisticcov.c:112
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRlogisticcov.c:118
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRlogisticcov.c:118
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRlogisticcov.c:118

Function NRweibull
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:82
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:85
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:87
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:88
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:90
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:92
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:95
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:96
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRweibull.c:98
